code,system,plot,sampling point,mesh,replicate,initial dry weight (g),Final dry weight (g)
PF1-1fa,Forest,1,1,fine,a,2.424,1.96
PF1-2fa,Forest,1,2,fine,a,2.443,1.87
PF1-3fa,Forest,1,3,fine,a,2.139,2.055
PF1-4fa,Forest,1,4,fine,a,2.229,2.075
PF1-5fa,Forest,1,5,fine,a,2.355,2.137
PF1-1fb,Forest,1,1,fine,b,2.502,2.166
PF1-2fb,Forest,1,2,fine,b,2.334,1.823
PF1-3fb,Forest,1,3,fine,b,2.405,2.282
PF1-4fb,Forest,1,4,fine,b,2.275,2.201
PF1-5fb,Forest,1,5,fine,b,2.338,2.086
PF1-1ca,Forest,1,1,coarse,a,2.545,0.274
PF1-2ca,Forest,1,2,coarse,a,2.327,0.942
PF1-3ca,Forest,1,3,coarse,a,2.345,1.626
PF1-4ca,Forest,1,4,coarse,a,2.426,1.897
PF1-5ca,Forest,1,5,coarse,a,2.415,1.767
PF1-1cb,Forest,1,1,coarse,b,2.581,0.033
PF1-2cb,Forest,1,2,coarse,b,2.299,0.639
PF1-3cb,Forest,1,3,coarse,b,2.223,1.86
PF1-4cb,Forest,1,4,coarse,b,2.215,1.425
PF1-5cb,Forest,1,5,coarse,b,2.324,1.753
PF2-1fa,Forest,2,1,fine,a,2.191,1.888
PF2-2fa,Forest,2,2,fine,a,2.553,2.34
PF2-3fa,Forest,2,3,fine,a,2.557,2.399
PF2-4fa,Forest,2,4,fine,a,2.419,2.175
PF2-5fa,Forest,2,5,fine,a,2.498,2.23
PF2-1fb,Forest,2,1,fine,b,2.146,1.858
PF2-2fb,Forest,2,2,fine,b,2.283,2.122
PF2-3fb,Forest,2,3,fine,b,2.282,2.049
PF2-4fb,Forest,2,4,fine,b,2.079,1.813
PF2-5fb,Forest,2,5,fine,b,2.244,2.043
PF2-1ca,Forest,2,1,coarse,a,2.143,1.063
PF2-2ca,Forest,2,2,coarse,a,2.319,2.061
PF2-3ca,Forest,2,3,coarse,a,2.289,2.04
PF2-4ca,Forest,2,4,coarse,a,2.446,2.155
PF2-5ca,Forest,2,5,coarse,a,2.388,2.17
PF2-1cb,Forest,2,1,coarse,b,2.229,1.036
PF2-2cb,Forest,2,2,coarse,b,2.439,2.127
PF2-3cb,Forest,2,3,coarse,b,2.66,2.302
PF2-4cb,Forest,2,4,coarse,b,2.483,2.145
PF2-5cb,Forest,2,5,coarse,b,2.27,1.199
PC1-1fa,Cacao,1,1,fine,a,2.254,1.856
PC1-2fa,Cacao,1,2,fine,a,2.323,2.18
PC1-3fa,Cacao,1,3,fine,a,2.37,1.884
PC1-4fa,Cacao,1,4,fine,a,2.181,2.123
PC1-5fa,Cacao,1,5,fine,a,2.199,1.038
PC1-1fb,Cacao,1,1,fine,b,2.168,1.519
PC1-2fb,Cacao,1,2,fine,b,2.314,2.259
PC1-3fb,Cacao,1,3,fine,b,2.193,1.749
PC1-4fb,Cacao,1,4,fine,b,2.442,2.376
PC1-5fb,Cacao,1,5,fine,b,2.023,0.91
PC1-1ca,Cacao,1,1,coarse,a,2.286,2.086
PC1-2ca,Cacao,1,2,coarse,a,2.557,2.336
PC1-3ca,Cacao,1,3,coarse,a,2.25,1.704
PC1-4ca,Cacao,1,4,coarse,a,2.258,2.15
PC1-5ca,Cacao,1,5,coarse,a,2.04,0.831
PC1-1cb,Cacao,1,1,coarse,b,2.303,1.487
PC1-2cb,Cacao,1,2,coarse,b,2.324,1.943
PC1-3cb,Cacao,1,3,coarse,b,2.134,1.751
PC1-4cb,Cacao,1,4,coarse,b,2.142,2.014
PC1-5cb,Cacao,1,5,coarse,b,2.273,1.04
PC2-1fa,Cacao,2,1,fine,a,2.353,2.174
PC2-2fa,Cacao,2,2,fine,a,2.384,1.589
PC2-3fa,Cacao,2,3,fine,a,2.42,2.215
PC2-4fa,Cacao,2,4,fine,a,2.156,1.322
PC2-5fa,Cacao,2,5,fine,a,2.38,2.244
PC2-1fb,Cacao,2,1,fine,b,2.484,2.255
PC2-2fb,Cacao,2,2,fine,b,2.059,1.13
PC2-3fb,Cacao,2,3,fine,b,2.107,2.001
PC2-4fb,Cacao,2,4,fine,b,2.315,1.429
PC2-5fb,Cacao,2,5,fine,b,2.337,2.227
PC2-1ca,Cacao,2,1,coarse,a,2.346,2.055
PC2-2ca,Cacao,2,2,coarse,a,2.207,0.934
PC2-3ca,Cacao,2,3,coarse,a,2.376,0.683
PC2-4ca,Cacao,2,4,coarse,a,2.288,1.764
PC2-5ca,Cacao,2,5,coarse,a,2.3,1.994
PC2-1cb,Cacao,2,1,coarse,b,2.257,1.994
PC2-2cb,Cacao,2,2,coarse,b,2.359,0.807
PC2-3cb,Cacao,2,3,coarse,b,2.195,0.986
PC2-4cb,Cacao,2,4,coarse,b,2.237,1.776
PC2-5cb,Cacao,2,5,coarse,b,2.338,2.158
